Step	R^2
882	12723.4
883	12740.1
884	12771.5
885	12804.6
886	12832.4
887	12866.6
888	12896.4
889	12915
890	12952.4
891	12972.6
892	12991.1
893	13009.9
894	13039.9
895	13072.2
896	13104.5
897	13129.5
898	13152.4
899	13183.2
900	13219.8
901	13233.4
902	13267.6
903	13287.5
904	13323.8
905	13350.3
906	13370.7
907	13394
908	13421.3
909	13458.5
910	13468.7
911	13503.6
912	13524.2
913	13555.9
914	13579.9
915	13616
916	13634.2
917	13669.8
918	13705.4
919	13743.5
920	13779.5
921	13807.5
922	13831.7
923	13860.6
924	13893
925	13928.7
926	13958.6
927	13992.2
928	14021.5
929	14043.5
930	14058.3
931	14089.7
932	14122.2
933	14149.4
934	14169.6
935	14191.5
936	14213.8
937	14243.9
938	14273.9
939	14295.4
940	14311.1
941	14335.8
942	14343.2
943	14376.6
944	14404.3
945	14437.9
946	14463.7
947	14478.9
948	14502.1
949	14537.6
950	14570.5
951	14600.5
952	14638.1
953	14661.1
954	14691.9
955	14732.5
956	14757.8
957	14787.5
958	14817.8
959	14853.1
960	14873
961	14906.6
962	14915.1
963	14951.8
964	14986.5
965	15012.3
966	15043.5
967	15077.9
968	15126.6
969	15166.7
970	15199.9
971	15225.7
972	15256.9
973	15292.6
974	15323
975	15351.3
976	15365.8
977	15396.4
978	15433.3
979	15465.1
980	15486.6
981	15498.7
982	15526.8
983	15559.6
984	15590.5
985	15627.3
986	15653.9
987	15669.9
988	15712.3
989	15743.2
990	15767.2
991	15783.2
992	15805.8
993	15833.7
994	15866.7
995	15900.9
996	15927.6
997	15953.2
998	15987
999	16045.1
1000	16069
