Problem 2.3

Time (s)	Velocity With Air Drag
5.13		11.2077
5.14		11.2094
5.15		11.2112
5.16		11.213
5.17		11.2148
5.18		11.2166
5.19		11.2184
5.2		11.2201
5.21		11.2219
5.22		11.2237
5.23		11.2255
5.24		11.2272
5.25		11.229
5.26		11.2308
5.27		11.2325
5.28		11.2343
5.29		11.2361
5.3		11.2378
5.31		11.2396
5.32		11.2413
5.33		11.2431
5.34		11.2449
5.35		11.2466
5.36		11.2484
5.37		11.2501
5.38		11.2519
5.39		11.2536
5.4		11.2553
5.41		11.2571
5.42		11.2588
5.43		11.2606
5.44		11.2623
5.45		11.264
5.46		11.2658
5.47		11.2675
5.48		11.2692
5.49		11.271
5.5		11.2727
5.51		11.2744
5.52		11.2761
5.53		11.2778
5.54		11.2796
5.55		11.2813
5.56		11.283
5.57		11.2847
5.58		11.2864
5.59		11.2881
5.6		11.2898
5.61		11.2915
5.62		11.2932
5.63		11.295
5.64		11.2967
5.65		11.2984
5.66		11.3001
5.67		11.3017
5.68		11.3034
5.69		11.3051
5.7		11.3068
5.71		11.3085
5.72		11.3102
5.73		11.3119
5.74		11.3136
5.75		11.3153
5.76		11.3169
5.77		11.3186
5.78		11.3203
5.79		11.322
5.8		11.3236
5.81		11.3253
5.82		11.327
5.83		11.3287
5.84		11.3303
5.85		11.332
5.86		11.3337
5.87		11.3353
5.88		11.337
5.89		11.3386
5.9		11.3403
5.91		11.342
5.92		11.3436
5.93		11.3453
5.94		11.3469
5.95		11.3486
5.96		11.3502
5.97		11.3519
5.98		11.3535
5.99		11.3551
6		11.3568
6.01		11.3584
6.02		11.3601
6.03		11.3617
6.04		11.3633
6.05		11.365
6.06		11.3666
6.07		11.3682
6.08		11.3698
6.09		11.3715
6.1		11.3731
6.11		11.3747
6.12		11.3763
6.13		11.378
6.14		11.3796
6.15		11.3812
6.16		11.3828
6.17		11.3844
6.18		11.386
6.19		11.3876
6.2		11.3893
6.21		11.3909
6.22		11.3925
6.23		11.3941
6.24		11.3957
6.25		11.3973
6.26		11.3989
6.27		11.4005
6.28		11.4021
6.29		11.4037
6.3		11.4052
6.31		11.4068
6.32		11.4084
6.33		11.41
6.34		11.4116
6.35		11.4132
6.36		11.4148
6.37		11.4163
6.38		11.4179
6.39		11.4195
6.4		11.4211
6.41		11.4227
6.42		11.4242
6.43		11.4258
6.44		11.4274
6.45		11.4289
6.46		11.4305
6.47		11.4321
6.48		11.4336
6.49		11.4352
