Problem 2.3

Time (s)	Velocity with Water Drag
0.556		0.895599
0.557		0.894566
0.558		0.893537
0.559		0.892513
0.56		0.891493
0.561		0.890478
0.562		0.889467
0.563		0.888461
0.564		0.887459
0.565		0.886461
0.566		0.885468
0.567		0.884479
0.568		0.883494
0.569		0.882514
0.57		0.881538
0.571		0.880566
0.572		0.879599
0.573		0.878635
0.574		0.877676
0.575		0.876721
0.576		0.87577
0.577		0.874824
0.578		0.873881
0.579		0.872943
0.58		0.872008
0.581		0.871078
0.582		0.870151
0.583		0.869229
0.584		0.86831
0.585		0.867396
0.586		0.866486
0.587		0.865579
0.588		0.864676
0.589		0.863778
0.59		0.862883
0.591		0.861992
0.592		0.861105
0.593		0.860221
0.594		0.859342
0.595		0.858466
0.596		0.857594
0.597		0.856725
0.598		0.855861
0.599		0.855
0.6		0.854143
0.601		0.853289
0.602		0.85244
0.603		0.851593
0.604		0.850751
0.605		0.849912
0.606		0.849077
0.607		0.848245
0.608		0.847417
0.609		0.846592
0.61		0.845771
0.611		0.844953
0.612		0.844139
0.613		0.843328
0.614		0.842521
0.615		0.841717
0.616		0.840917
0.617		0.84012
0.618		0.839326
0.619		0.838536
0.62		0.837749
0.621		0.836965
0.622		0.836185
0.623		0.835408
0.624		0.834635
0.625		0.833864
0.626		0.833097
0.627		0.832334
0.628		0.831573
0.629		0.830816
0.63		0.830062
0.631		0.829311
0.632		0.828563
0.633		0.827818
0.634		0.827077
0.635		0.826339
0.636		0.825603
0.637		0.824871
0.638		0.824142
0.639		0.823416
0.64		0.822693
0.641		0.821974
0.642		0.821257
0.643		0.820543
0.644		0.819832
0.645		0.819125
0.646		0.81842
0.647		0.817718
0.648		0.817019
0.649		0.816323
0.65		0.81563
0.651		0.81494
0.652		0.814253
0.653		0.813569
0.654		0.812887
0.655		0.812209
0.656		0.811533
0.657		0.81086
0.658		0.81019
0.659		0.809523
0.66		0.808858
0.661		0.808196
0.662		0.807538
0.663		0.806881
0.664		0.806228
